21/12/2014 14:52:26 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:07:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:07:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:07:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:08:10 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:08:10 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:08:10 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:08:35 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:08:35 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:08:35 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:08:42 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:08:42 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:08:42 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:09:12 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:09:12 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:09:12 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:09:12 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 15:09:12 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 15:09:12 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 15:09:26 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:09:26 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:09:26 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:09:26 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:09:26 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:09:26 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 15:09:26 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:09:26 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:23:00 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:23:00 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:23:00 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:23:00 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 15:23:00 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:23:00 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:23:00 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:27:37 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:27:37 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:27:37 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:27:37 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 15:27:37 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 15:27:37 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:27:37 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 15:27:37 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 15:59:59 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:59:59 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:59:59 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:59:59 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:59:59 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 15:59:59 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 15:59:59 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 15:59:59 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 16:37:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:37:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:37:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:37:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 16:37:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:37:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 16:37:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 16:42:50 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:42:50 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:42:50 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:42:50 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:42:50 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:42:50 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:42:50 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 16:42:50 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 16:42:51 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:42:51 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:42:51 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:42:51 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 16:42:51 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:42:51 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 16:42:54 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:42:54 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:42:54 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:42:54 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:42:54 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:42:54 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:42:54 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:09 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:09 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:09 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 3|3
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 3|3
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 3|3
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 3|3
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 3|3
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 3|3
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 3|3
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 3|3
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 4|4
21/12/2014 16:49:17 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 3|3
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 16:49:17 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 17:01:05 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 17:01:05 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 17:01:05 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 18:01:48 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 18:01:48 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 18:01:48 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 18:01:48 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 18:01:48 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 18:01:48 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 18:05:03 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 18:05:03 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 18:05:03 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 18:05:03 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 18:05:03 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 18:05:03 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 18:05:03 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 18:05:03 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 18:15:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 18:15:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 18:15:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 18:15:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 18:15:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 18:15:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 18:15:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
22/12/2014 19:55:46 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
22/12/2014 19:55:46 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
22/12/2014 19:55:46 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 |
22/12/2014 19:55:46 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 |
22/12/2014 19:55:46 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 3|3
22/12/2014 19:55:46 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
22/12/2014 19:55:46 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
22/12/2014 19:55:46 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 |
22/12/2014 19:55:46 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 |
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
22/12/2014 19:55:46 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
22/12/2014 19:55:46 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
22/12/2014 19:55:46 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 |
22/12/2014 19:55:46 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 |
22/12/2014 19:55:46 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
22/12/2014 19:55:46 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
22/12/2014 19:55:46 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 |
22/12/2014 19:55:46 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 |
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
22/12/2014 19:55:46 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 2|2
22/12/2014 19:55:46 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 4|4
22/12/2014 19:55:46 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 |
22/12/2014 19:55:46 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 |
22/12/2014 19:55:46 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 |
22/12/2014 19:55:46 SELECT id_faible_contre FROM element WHERE id_element = :id_element : 	 |
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
22/12/2014 19:55:46 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
