03/01/2015 13:09:41 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 14:01:31 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:02:15 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:02:15 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:02:15 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:02:15 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:03:10 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:03:10 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:03:10 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:03:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:03:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:03:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:03:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:07:16 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:07:16 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:07:16 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 14:07:16 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 14:07:17 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:07:17 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:07:17 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:07:17 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:07:21 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:07:21 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:07:21 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:07:21 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:07:27 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:07:27 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 14:07:27 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:07:27 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:29:25 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|53
03/01/2015 14:30:39 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|53
03/01/2015 14:30:57 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|54
03/01/2015 14:32:09 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 14:32:09 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 14:32:09 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 14:32:09 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|53
03/01/2015 14:32:48 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|53
03/01/2015 14:36:07 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 14:36:07 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 14:36:07 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 14:36:07 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 14:36:07 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 14:36:07 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:36:07 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 14:36:13 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 14:36:13 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 14:36:13 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 14:36:14 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 14:36:14 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 14:36:14 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 14:36:18 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 14:36:18 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 14:36:18 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 14:36:18 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 14:36:18 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|52
03/01/2015 14:36:18 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|153
03/01/2015 14:36:18 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|152
03/01/2015 14:36:18 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|151
03/01/2015 14:36:18 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|51
03/01/2015 14:36:18 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|150
03/01/2015 14:36:18 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|149
03/01/2015 14:36:18 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|146
03/01/2015 14:36:18 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|50
03/01/2015 14:36:18 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|145
03/01/2015 14:36:18 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|143
03/01/2015 14:36:18 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|49
03/01/2015 14:36:18 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|142
03/01/2015 14:36:18 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|139
03/01/2015 14:36:18 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|48
03/01/2015 14:36:18 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|138
03/01/2015 14:36:18 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|47
03/01/2015 14:36:19 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|135
03/01/2015 14:36:19 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|46
03/01/2015 14:36:19 UPDATE personnage SET experience = :experience WHERE id_personnage =:id_personnage : 	 1|2896
03/01/2015 14:40:17 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 14:40:17 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 14:40:17 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 14:40:17 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 14:40:17 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 14:52:02 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|130
03/01/2015 14:52:17 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|45
03/01/2015 14:52:17 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|127
03/01/2015 14:52:45 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|39
03/01/2015 14:52:45 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|126
03/01/2015 14:53:36 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|38
03/01/2015 14:53:36 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|125
03/01/2015 14:53:43 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|37
03/01/2015 14:53:43 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|120
03/01/2015 14:53:53 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|31
03/01/2015 14:53:53 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|117
03/01/2015 14:54:01 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|30
03/01/2015 14:54:01 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|116
03/01/2015 14:54:11 UPDATE personnage SET mp = :mp WHERE id_personnage =:id_personnage : 	 1|29
03/01/2015 14:54:11 UPDATE personnage SET hp = :hp WHERE id_personnage =:id_personnage : 	 1|115
03/01/2015 15:15:26 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 15:15:26 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 15:15:26 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 15:15:28 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 15:15:28 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 15:15:28 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 15:16:21 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 15:16:21 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 15:16:21 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 15:16:23 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 1
03/01/2015 15:16:23 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 5
03/01/2015 15:16:23 SELECT DISTINCT * FROM personnage WHERE id_personnage = :id_personnage : 	 6
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:34 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 7
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 6
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 6
03/01/2015 15:16:35 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 6
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
